index,text,hate,audio
107732,"@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_36.mp3
97162,"yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_37.mp3
119868,shut the fuck up you dumb black bitch,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_38.mp3
117146,do you have autism or something? why do you talk like a disgusting retard?,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_39.mp3
111261,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_40.mp3
16014,"Suck my fatso cock, sunni rat",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_41.mp3
103814,"Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_42.mp3
66626,Dirty little bitch.. I need to punish you with my cock in your ass!,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_43.mp3
107437,"Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now whimper all you like, squeal & cry that ain't gonna stop this bull from raping your boi pussy apart he'll only stop when he is done and shoots his load and breed you URL",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_44.mp3
63282,All immigrants are trash this is a white country Trump 2020,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_45.mp3
39675,"ITT: Cunt spits in Ape Retard's face Ape Retard pries door open, knocks Cunt unconscious, kicks Cunt's head into concrete, and screams ""nigger"" three times while evading the scene. What the fuck, Ape Retard needs to be charged",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_46.mp3
50397,ugly niggas every state🥴 URL,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_47.mp3
30634,"If it wasn't about money, none of you lying so called Christians would even care.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_48.mp3
106982,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_49.mp3
111168,"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_50.mp3
48386,what a stupid bitch,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_51.mp3
100729,#whitepower...I'll hang you nigger,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_52.mp3
11035,"As a reference:    Not all gays are fags, nor are all fags gays.    But Carlos is one gay as fuck fag.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_53.mp3
98688,"yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_54.mp3
77862,Daddy i dont know how to tell you this but im fucking faggot whore #faggot #gayslave #gaymaster URL,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_55.mp3
100203,ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_56.mp3
99527,trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_57.mp3
102013,"Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_58.mp3
12138,"I hope they burnt it down. A building made partially of repurposed religious structure, seems fitting",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_59.mp3
95144,i hate jews so much i wish the holocaust actually happened,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_60.mp3
4475,Kill yourself cunt,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_61.mp3
96649,trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_62.mp3
39070,I can't remember which one of the four horsemen set it but didn't one of them back Louis Farrakhan who thinks that all Jews and all white people need to die?,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_63.mp3
50994,He's deadass got giant red lips you slackjawed mook,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_64.mp3
55316,You have the ability to put a condom so start from there. 50m babies are murdered cuz the mother is a hoe and can't wear a condom.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_65.mp3
58706,"BECAUSE I CAN AND BECAUSE ITS LIKE THAT FOR TRASH LIKE YOU HOES  DISTURBING 'SCREWING TOO THE TOP"" BUT (((ESPECIALLY))) HEAVEN WOW THE VOLUME BEHIND THAT DATE RAPE DRUG THEN RAPED THEN DRAGGED THEN IMPREGNATED DONE LET'S TAKE OUT THE TRASH FIRST AMEN",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_66.mp3
7464,Try have dirty Muslim MAYOR in Pakistan or any Muslim country. What has happened to the UK. All these Islamic non assimilating state sucking sponges. Get rid of the ruling elite and the corrupt government controlled media and stop the Islamification of Western countries now before it is too late.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_67.mp3
28800,"@claudio rabsten i'm gone beat the fck out of all you camp bucca terrorist motherfuckers until your mamas starting laying eggs, lol...you think you can grow a beard and pass for an arab terrorist? wait til you see my machete, lol",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_68.mp3
93881,@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_69.mp3
58433,"Thanks fag, Lemme suck u",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_70.mp3
100588,"GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_71.mp3
121068,Looks like a nigger with their typical retarded haircuts,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_72.mp3
3746,"oh please. this Tunisian Love Rat *needs* to be exploited on liberated american trash tv as the first step towards breaking down the sexist, centuries-old mindset he's been conditioned to live by. i'm supposed to feel bad for him? he probably fucks like the amish.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_73.mp3
115250,Learn the fucking language you fucking useless immigrant.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_74.mp3
115467,Learn the fucking language you fucking useless immigrant.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_75.mp3
105737,"Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_76.mp3
113992,"GEEZ..... I think #NorthKorea may be right. #BarackObama is a monkey! Surely acts like one.   URL""",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_77.mp3
14344,I'm lowkey mean to niggas til I'm in a relationship. Bitch get all mushy and submissive n shit whole damn persona changes,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_78.mp3
98606,gay people should die,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_79.mp3
30508,"There are times where I end up losing control and end up slapping an inferior fag even harder then normal. ""Thank you Sir"" it whimpers as I spit all over its dirty face. How pathetic is that? My dirty cash fags crawl to me by the minute 😂😂 #findom #cashmaster URL",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_80.mp3
99789,gay people should die,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_81.mp3
112202,"GEEZ..... I think #NorthKorea may be right. #BarackObama is a monkey! Surely acts like one.   URL""",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_82.mp3
107972,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_83.mp3
33944,Fox Viewers are gross. Women who support this admistration are horrible people. God Help US,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_84.mp3
31521,You need help porki. Inbreeding and praying to a pedophile named mohammed wont help your porkishitstan shithole.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_85.mp3
6204,"CNN and PMSNBC = HOMOSEXUALS, BULLDYKE LESBIANS , PEDOPHILES and ASSCLOWNS",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_86.mp3
98093,gay people should die,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_87.mp3
116770,Learn the fucking language you fucking useless immigrant.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_88.mp3
114892,"@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_89.mp3
116760,Fucking fagot burn in hell,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_90.mp3
105414,#whitepower...I'll hang you nigger,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_91.mp3
110999,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_92.mp3
8151,Fuck that nigga.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_93.mp3
97779,Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_94.mp3
94370,"yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_95.mp3
39795,I have a few. Don't lower yourself to fucking fat ugly men and black men because they have a big cock. They are uglier than hell. If you want someone to play with or smash on you give me a ring,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_96.mp3
16320,U a bitch. Get his nuts out ya mouth,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_97.mp3
81925,I killed fity men for my country and you voted for a gay nigger President twice? URL,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_98.mp3
120565,Stupid Asian Bitch You're an idiot and you should go back to ching chong land,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_99.mp3
101913,"GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_100.mp3
53852,".. next thing you know, she's getting properly #fingered in public and loving it more than you thought possible - and so are you, and as your #exhibitionist girlfriend becomnes a #hotwife you change from being a #candaulist to a '#cuckold URL",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_101.mp3
121552,do you have autism or something? why do you talk like a disgusting retard?,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_102.mp3
107426,ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_103.mp3
92470,Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_104.mp3
97464,gay people should die,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_105.mp3
98209,"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_106.mp3
103374,Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_107.mp3
109063,There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_108.mp3
70128,"just a trump supporter incel retard, carry on",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_109.mp3
17244,"And you just wrote a whole fuckin paragraph in response to me, so fuck off you faggot loving dumbass",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_110.mp3
62296,Damn these liberals aren't very tolerant. So what if he has a stick up his hass? How homophobic.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_111.mp3
65260,Totally would have her in the alley afterwards with my cock up her tight ass. She can only plead no as I cum in her teasing ass.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_112.mp3
27515,i hope your sisters are raped and you are forced to look at their bodies fucker,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_113.mp3
40341,This nigga look like one of them red faced monkeys from the himalayas,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_114.mp3
103182,#whitepower...I'll hang you nigger,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_115.mp3
46487,Abort the 3rd world!!,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_116.mp3
102582,"JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_117.mp3
66332,Drake was sending kanye purple demon emojis and kanye started fearing for his life. how is this nigga from chicago,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_118.mp3
120926,do you have autism or something? why do you talk like a disgusting retard?,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_119.mp3
51867,"motherfucking come make me, bitch",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_120.mp3
93620,Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_121.mp3
20519,@omer6830 @BaxtiyarGoran Go fuck yourself if you muslim you hypocrite. Bye,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_122.mp3
66729,"Good, fuck America. We need to isolate them to the point they stop fucking up the world. Without America for the last 30 years the world would be a much better place. These people love killing, hate the environment, love war crimes. What good are they?",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_123.mp3
113920,"@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_124.mp3
102177,"GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_125.mp3
63716,Fuck crackers,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_126.mp3
26937,look at this fucking Fagget,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_127.mp3
108585,"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_128.mp3
112453,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_129.mp3
102851,"At 7:19 is why I hate people, women especially look how mad she got just because the dog splashed her.. f*** you you stupid b**** either have fun or go kill yourself",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_130.mp3
56721,White bitches! Ruining baseball since 1869.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_131.mp3
39697,wish niggas could network just as much as they beef.,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_132.mp3
66442,Post the shit or kill yourself faggot,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_133.mp3
21154,@thekillakay_ I just wanna know what this nigga brain shaped like,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_134.mp3
111851,That's no excuse for stealing other people's technology and research and intellectual property You're all a bunch of human cockroaches is what you are And your food is disgusting on top of that you assholes will eat anything to the point where you'll make any creature go extinct because of your fucking appetites You chinks are determined to eat every Pangolin until they are all wiped off the earth,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_135.mp3
100028,"At 7:19 is why I hate people, women especially look how mad she got just because the dog splashed her.. f*** you you stupid b**** either have fun or go kill yourself",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_136.mp3
112358,Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_137.mp3
92977,"This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_138.mp3
8877,"Im sick of this shit, they have to turn everything gay LGBT should be illegal",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_139.mp3
99466,i hate jews so much i wish the holocaust actually happened,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_140.mp3
29183,"We in Israel feel sorry for you ... It is sad to see people so dumb who pray for a dry Jewish mummy who died 2,000 years ago and think she will wake up ... If this is your God you are really miserable ... Your God is dead bleeding and crying on the cross like a hysterical 5 year old girl .. He cried to to get help ... To himself he could not help .. So he will help you? If I were you I'd feel sorry for yourself.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_141.mp3
10245,"No you fucking idiot, beat the shit out of her lol",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_142.mp3
27047,Trump is right..ALL immigrants who arrived after 1492 should GO HOME!!,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_143.mp3
113930,"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_144.mp3
64899,That little island is too inbred to do anything without the help of France and the USA,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_145.mp3
100357,#whitepower...I'll hang you nigger,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_146.mp3
9653,Burn them I say That rattles the filthy Pakistani pigs,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_147.mp3
100950,"Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_148.mp3
109447,"RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_149.mp3
119888,Looks like a nigger with their typical retarded haircuts,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_150.mp3
94109,i hate jews so much i wish the holocaust actually happened,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_151.mp3
100245,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_152.mp3
120523,"Niggers and their liberal friends steal everything not tied down, just like the presidency here with acorn with its liberal defenders, FUCK YOU NIGGER OBOAMA!",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_153.mp3
98495,i hate jews so much i wish the holocaust actually happened,1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_154.mp3
114541,"@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant",1,/content/drive/MyDrive/IPD/code/audio/claude_tts/audio_155.mp3
